Depth [m],Area [m2]
0,5221000
1,5174376
2,5121175.4
3,5062000
4,4997451.4
5,4928131.3
6,4854641.4
7,4777583.5
8,4697559.1
9,4615169.9
10,4531017.8
11,4445704.3
12,4359831.1
13,4274000
14,4188680.2
15,4103811.6
16,4019201.7
17,3934657.8
18,3849987.5
19,3764998.1
20,3679497.3
21,3593292.3
22,3506190.8
23,3418000
24,3328620.7
25,3238326.2
26,3147482.9
27,3056457.4
28,2965616.1
29,2875325.5
30,2785952.1
31,2697862.4
32,2611422.9
33,2527000
34,2444886
35,2365075.7
36,2287489.7
37,2212048.7
38,2138673.2
39,2067283.9
40,1997801.3
41,1930146.1
42,1864238.8
43,1800000
44,1737265.5
45,1675531.2
46,1614208.3
47,1552707.8
48,1490441
49,1426818.9
50,1361252.7
51,1293153.3
52,1221932.1
53,1147000
54,1067965.2
55,985223.62
56,899368.21
57,810991.92
58,720687.68
59,629048.42
60,536667.08
61,444136.61
62,352049.94
63,261000
64,171579.74
65,84382.094
66,0
