Date,Q_RonHochdorf [m3 s-1],TP_RonHochdorf [mg m-3],Q_Mülibach [m3 s-1],TP_Mülibach [mg m-3],Q_Stägbach [m3 s-1],TP_Stägbach [mg m-3],Q_Spittlisbach [m3 s-1],TP_Spittlisbach [mg m-3],Q_Höhibach [m3 s-1],TP_Höhibach [mg m-3]
15.04.1985,1.080,209.000,0.068,55.000,0.200,103.000,0.080,138.000,0.050,43.000
26.04.1985,0.800,806.500,0.029,22.000,0.080,56.000,0.030,148.000,0.030,23.000
07.05.1985,0.520,1404.000,0.050,336.000,0.130,964.000,0.050,900.000,0.060,449.000
18.05.1985,0.300,117.000,0.067,207.000,0.120,117.000,0.020,160.000,0.050,71.000
29.05.1985,1.420,536.000,0.065,144.000,0.130,255.000,0.040,199.000,0.050,57.000
09.06.1985,0.520,171.000,0.054,57.000,0.150,120.000,0.040,164.000,0.060,98.000
20.06.1985,0.500,201.000,0.046,77.000,0.170,115.000,0.070,182.000,0.040,41.000
01.07.1985,0.380,138.000,0.014,44.000,0.090,132.000,0.040,151.000,0.030,51.000
12.07.1985,0.220,188.000,0.006,67.000,0.060,95.000,0.000,132.000,0.030,64.000
23.07.1985,0.160,155.000,0.004,30.000,0.040,99.000,0.010,170.000,0.020,103.000
03.08.1985,0.100,180.000,0.004,227.000,0.030,120.000,0.010,151.000,0.020,710.000
14.08.1985,0.180,182.000,0.004,30.000,0.030,110.000,0.020,157.000,0.020,72.000
25.08.1985,0.580,246.000,0.011,71.000,0.080,286.000,0.040,336.000,0.020,48.000
05.09.1985,0.280,142.000,0.017,45.000,0.060,146.000,0.020,244.000,0.020,33.000
16.09.1985,0.240,180.000,0.009,45.000,0.060,133.000,0.030,229.000,0.020,33.000
27.09.1985,0.140,202.000,0.005,43.000,0.020,174.000,0.010,214.000,0.020,38.000
08.10.1985,0.120,180.000,0.004,44.000,0.020,123.000,0.020,259.000,0.020,57.000
19.10.1985,0.120,152.000,0.010,29.000,0.020,95.000,0.010,205.000,0.020,45.000
30.10.1985,0.120,243.000,0.012,19.000,0.020,92.000,0.010,183.000,0.020,48.000
10.11.1985,1.980,854.000,0.197,622.000,0.370,480.000,0.180,240.000,0.060,563.000
21.11.1985,0.180,140.000,0.013,68.000,0.070,204.000,0.030,219.000,0.030,23.000
02.12.1985,0.540,750.000,0.050,54.000,0.140,97.000,0.070,172.000,0.040,23.000
13.12.1985,0.240,106.000,0.017,11.000,0.080,81.000,0.030,211.000,0.020,179.000
04.01.1986,0.380,177.000,0.025,20.000,0.150,64.000,0.300,168.000,0.020,25.000
15.01.1986,1.960,220.000,0.159,86.000,0.730,135.000,0.650,169.000,0.090,76.000
26.01.1986,0.640,112.000,0.056,28.000,0.270,64.000,0.090,89.000,0.030,32.000
06.02.1986,0.280,127.000,0.019,44.000,0.110,58.000,0.040,146.000,0.030,26.000
17.02.1986,0.220,121.000,0.015,52.000,0.080,61.000,0.030,146.000,0.030,56.000
28.02.1986,0.560,143.000,0.010,214.000,0.060,78.000,0.050,189.000,0.030,33.000
11.03.1986,0.460,150.000,0.020,29.000,0.170,87.000,0.040,158.000,0.040,44.000
22.03.1986,1.160,166.000,0.105,103.000,0.280,65.000,0.120,118.000,0.060,93.000
02.04.1986,0.640,118.000,0.065,59.000,0.200,55.000,0.090,99.000,0.060,21.000
13.04.1986,0.920,138.000,0.094,38.000,0.320,77.000,0.140,98.000,0.090,41.000
24.04.1986,0.420,100.000,0.066,31.000,0.180,63.000,0.080,28.000,0.090,128.000
05.05.1986,0.420,85.000,0.038,15.000,0.160,85.000,0.090,86.000,0.070,20.000
16.05.1986,0.560,1000.000,0.056,304.000,0.170,226.000,0.080,940.000,0.050,63.000
27.05.1986,0.440,716.000,0.038,130.000,0.140,476.000,0.140,1192.000,0.040,217.000
07.06.1986,0.920,155.000,0.124,29.000,0.330,108.000,0.160,138.000,0.100,40.000
