Date,Q_Aabach [m3 s-1],TP_Aabach [mg m-3]
15.05.1982,0.750,360.000
14.11.1982,1.230,94.000
12.12.1982,1.370,248.000
09.01.1983,1.790,279.000
06.02.1983,2.060,270.000
14.02.1983,1.800,294.000
07.03.1983,1.540,286.000
05.04.1983,1.630,263.000
04.05.1983,1.410,280.000
05.06.1983,1.900,214.000
26.06.1983,0.860,156.000
05.07.1983,0.740,52.000
01.08.1983,0.470,42.000
26.09.1983,0.360,25.000
02.10.1983,0.350,23.000
03.11.1983,0.290,41.000
21.11.1983,0.230,173.000
19.12.1983,0.790,245.000
15.04.1984,1.090,239.000
13.05.1984,0.580,178.000
11.06.1984,0.690,100.000
08.07.1984,0.530,17.000
05.08.1984,0.390,33.000
02.09.1984,0.460,32.000
30.09.1984,1.760,30.000
28.10.1984,1.060,60.000
25.11.1984,0.640,174.000
15.04.1985,1.620,220.000
26.04.1985,1.410,216.000
07.05.1985,1.680,196.000
18.05.1985,2.430,182.000
29.05.1985,1.790,158.000
09.06.1985,1.510,121.000
20.06.1985,1.490,84.000
01.07.1985,1.330,52.000
12.07.1985,1.100,29.000
23.07.1985,0.870,38.000
03.08.1985,0.630,28.000
14.08.1985,0.610,26.000
25.08.1985,0.560,23.000
05.09.1985,0.630,20.000
16.09.1985,0.600,27.000
27.09.1985,0.480,23.000
08.10.1985,0.380,20.000
19.10.1985,0.280,24.000
30.10.1985,0.200,21.000
10.11.1985,0.300,31.000
21.11.1985,0.430,80.000
02.12.1985,0.480,137.000
13.12.1985,0.590,162.000
04.01.1986,1.020,196.000
15.01.1986,2.230,196.000
26.01.1986,2.590,182.000
06.02.1986,1.780,184.000
17.02.1986,1.190,188.000
28.02.1986,1.020,206.000
11.03.1986,1.050,205.000
22.03.1986,1.950,201.000
02.04.1986,2.210,190.000
13.04.1986,3.440,191.000
24.04.1986,2.760,210.000
05.05.1986,2.560,203.000
16.05.1986,1.850,114.000
27.05.1986,1.750,117.000
07.06.1986,4.980,142.000
18.06.1986,3.620,103.000
29.06.1986,2.310,77.000
10.07.1986,1.530,79.000
21.07.1986,1.000,58.000
01.08.1986,0.850,35.000
12.08.1986,0.670,28.000
23.08.1986,0.640,41.000
03.09.1986,0.610,25.000
14.09.1986,0.470,28.000
25.09.1986,0.400,48.000
06.10.1986,0.290,37.000
17.10.1986,0.230,31.000
28.10.1986,0.350,37.000
08.11.1986,0.440,81.000
19.11.1986,0.440,114.000
30.11.1986,0.640,152.000
11.12.1986,0.590,164.000
22.12.1986,0.870,162.000
09.01.1987,2.100,186.000
13.01.1987,1.870,180.000
24.01.1987,1.270,178.000
04.02.1987,0.950,167.000
15.02.1987,1.480,209.000
26.02.1987,1.300,186.000
09.03.1987,2.380,180.000
20.03.1987,1.840,176.000
31.03.1987,1.950,203.000
11.04.1987,2.550,192.000
22.04.1987,2.150,200.000
03.05.1987,1.530,158.000
14.05.1987,1.610,106.000
25.05.1987,1.580,54.000
05.06.1987,1.620,52.000
16.06.1987,3.430,66.000
27.06.1987,4.020,78.000
08.07.1987,2.390,40.000
19.07.1987,1.470,103.000
30.07.1987,1.190,84.000
