Date,Qin [m3 s-1]
30.09.2011 01:00:00,4.805
30.09.2011 02:00:00,4.815
30.09.2011 03:00:00,4.820
30.09.2011 04:00:00,4.824
30.09.2011 05:00:00,4.830
30.09.2011 06:00:00,4.830
30.09.2011 07:00:00,4.830
30.09.2011 08:00:00,10.802
30.09.2011 09:00:00,28.686
30.09.2011 10:00:00,46.571
30.09.2011 11:00:00,64.455
30.09.2011 12:00:00,82.340
30.09.2011 13:00:00,60.203
30.09.2011 14:00:00,38.066
30.09.2011 15:00:00,15.929
30.09.2011 16:00:00,4.900
30.09.2011 17:00:00,4.890
30.09.2011 18:00:00,4.880
30.09.2011 19:00:00,4.890
30.09.2011 20:00:00,8.410
30.09.2011 21:00:00,11.930
30.09.2011 22:00:00,15.450
30.09.2011 23:00:00,15.671
01.10.2011 00:00:00,12.594
01.10.2011 01:00:00,9.516
01.10.2011 02:00:00,6.439
01.10.2011 03:00:00,4.890
01.10.2011 04:00:00,4.910
01.10.2011 05:00:00,4.923
01.10.2011 06:00:00,4.920
01.10.2011 07:00:00,4.920
01.10.2011 08:00:00,4.930
01.10.2011 09:00:00,4.910
01.10.2011 10:00:00,4.910
01.10.2011 11:00:00,4.920
01.10.2011 12:00:00,4.920
01.10.2011 13:00:00,4.880
01.10.2011 14:00:00,4.860
01.10.2011 15:00:00,4.860
01.10.2011 16:00:00,4.890
01.10.2011 17:00:00,4.880
01.10.2011 18:00:00,4.880
01.10.2011 19:00:00,4.860
01.10.2011 20:00:00,4.880
01.10.2011 21:00:00,4.850
01.10.2011 22:00:00,4.830
01.10.2011 23:00:00,4.830
02.10.2011 00:00:00,4.840
02.10.2011 01:00:00,4.850
02.10.2011 02:00:00,4.870
02.10.2011 03:00:00,4.880
02.10.2011 04:00:00,4.880
02.10.2011 05:00:00,4.900
02.10.2011 06:00:00,4.900
02.10.2011 07:00:00,4.900
02.10.2011 08:00:00,4.890
02.10.2011 09:00:00,4.880
02.10.2011 10:00:00,4.890
02.10.2011 11:00:00,4.890
02.10.2011 12:00:00,4.910
02.10.2011 13:00:00,4.860
02.10.2011 14:00:00,4.850
02.10.2011 15:00:00,4.840
02.10.2011 16:00:00,4.840
02.10.2011 17:00:00,4.830
02.10.2011 18:00:00,4.830
02.10.2011 19:00:00,4.830
02.10.2011 20:00:00,4.830
02.10.2011 21:00:00,4.810
02.10.2011 22:00:00,4.820
02.10.2011 23:00:00,4.855
03.10.2011 00:00:00,4.872
03.10.2011 01:00:00,4.890
03.10.2011 02:00:00,4.903
03.10.2011 03:00:00,4.910
03.10.2011 04:00:00,4.920
03.10.2011 05:00:00,4.920
03.10.2011 06:00:00,4.938
03.10.2011 07:00:00,4.920
03.10.2011 08:00:00,4.910
03.10.2011 09:00:00,4.900
03.10.2011 10:00:00,18.247
03.10.2011 11:00:00,31.595
03.10.2011 12:00:00,44.942
03.10.2011 13:00:00,49.590
03.10.2011 14:00:00,36.838
03.10.2011 15:00:00,24.087
03.10.2011 16:00:00,11.336
03.10.2011 17:00:00,4.960
03.10.2011 18:00:00,4.930
03.10.2011 19:00:00,4.950
03.10.2011 20:00:00,4.916
03.10.2011 21:00:00,4.910
03.10.2011 22:00:00,4.900
03.10.2011 23:00:00,4.904
04.10.2011 00:00:00,4.910
04.10.2011 01:00:00,4.927
04.10.2011 02:00:00,4.949
04.10.2011 03:00:00,4.960
04.10.2011 04:00:00,4.970
04.10.2011 05:00:00,4.980
04.10.2011 06:00:00,4.980
04.10.2011 07:00:00,4.970
04.10.2011 08:00:00,10.850
04.10.2011 09:00:00,28.520
04.10.2011 10:00:00,46.190
04.10.2011 11:00:00,63.860
04.10.2011 12:00:00,75.640
04.10.2011 13:00:00,65.078
04.10.2011 14:00:00,43.955
04.10.2011 15:00:00,22.832
04.10.2011 16:00:00,8.365
04.10.2011 17:00:00,7.210
04.10.2011 18:00:00,6.055
04.10.2011 19:00:00,4.900
04.10.2011 20:00:00,4.818
04.10.2011 21:00:00,4.842
04.10.2011 22:00:00,4.866
04.10.2011 23:00:00,4.890
05.10.2011 00:00:00,4.912
05.10.2011 01:00:00,4.921
05.10.2011 02:00:00,4.930
05.10.2011 03:00:00,4.945
05.10.2011 04:00:00,4.940
05.10.2011 05:00:00,4.927
05.10.2011 06:00:00,4.916
05.10.2011 07:00:00,4.916
05.10.2011 08:00:00,19.298
05.10.2011 09:00:00,40.865
05.10.2011 10:00:00,62.432
05.10.2011 11:00:00,76.810
05.10.2011 12:00:00,75.130
05.10.2011 13:00:00,71.150
05.10.2011 14:00:00,52.230
05.10.2011 15:00:00,33.310
05.10.2011 16:00:00,14.390
05.10.2011 17:00:00,4.920
05.10.2011 18:00:00,4.930
05.10.2011 19:00:00,4.890
05.10.2011 20:00:00,5.050
05.10.2011 21:00:00,5.210
05.10.2011 22:00:00,5.370
05.10.2011 23:00:00,5.380
06.10.2011 00:00:00,5.240
06.10.2011 01:00:00,5.100
06.10.2011 02:00:00,4.960
06.10.2011 03:00:00,4.890
06.10.2011 04:00:00,4.880
06.10.2011 05:00:00,4.880
06.10.2011 06:00:00,4.880
06.10.2011 07:00:00,4.880
06.10.2011 08:00:00,10.274
06.10.2011 09:00:00,26.455
06.10.2011 10:00:00,42.637
06.10.2011 11:00:00,58.818
06.10.2011 12:00:00,75.000
06.10.2011 13:00:00,67.867
06.10.2011 14:00:00,46.858
06.10.2011 15:00:00,25.849
06.10.2011 16:00:00,4.840
06.10.2011 17:00:00,4.830
06.10.2011 18:00:00,4.820
06.10.2011 19:00:00,4.810
06.10.2011 20:00:00,5.016
06.10.2011 21:00:00,5.221
06.10.2011 22:00:00,5.427
06.10.2011 23:00:00,5.457
07.10.2011 00:00:00,5.312
07.10.2011 01:00:00,5.500
07.10.2011 02:00:00,5.287
07.10.2011 03:00:00,5.200
07.10.2011 04:00:00,5.180
07.10.2011 05:00:00,5.140
07.10.2011 06:00:00,8.077
07.10.2011 07:00:00,11.014
07.10.2011 08:00:00,13.951
07.10.2011 09:00:00,20.300
07.10.2011 10:00:00,30.061
07.10.2011 11:00:00,39.822
07.10.2011 12:00:00,49.583
07.10.2011 13:00:00,51.625
07.10.2011 14:00:00,38.229
07.10.2011 15:00:00,24.833
07.10.2011 16:00:00,11.438
07.10.2011 17:00:00,4.890
07.10.2011 18:00:00,5.044
07.10.2011 19:00:00,5.505
07.10.2011 20:00:00,5.967
07.10.2011 21:00:00,6.428
07.10.2011 22:00:00,6.889
07.10.2011 23:00:00,6.854
08.10.2011 00:00:00,6.321
08.10.2011 01:00:00,5.788
08.10.2011 02:00:00,5.255
08.10.2011 03:00:00,4.900
08.10.2011 04:00:00,4.910
08.10.2011 05:00:00,4.906
08.10.2011 06:00:00,4.900
08.10.2011 07:00:00,4.908
08.10.2011 08:00:00,4.910
08.10.2011 09:00:00,4.910
08.10.2011 10:00:00,4.860
08.10.2011 11:00:00,5.234
08.10.2011 12:00:00,5.609
08.10.2011 13:00:00,5.983
08.10.2011 14:00:00,5.981
08.10.2011 15:00:00,5.604
08.10.2011 16:00:00,5.227
08.10.2011 17:00:00,4.850
08.10.2011 18:00:00,4.930
08.10.2011 19:00:00,4.950
08.10.2011 20:00:00,5.100
08.10.2011 21:00:00,5.072
08.10.2011 22:00:00,6.267
08.10.2011 23:00:00,8.621
09.10.2011 00:00:00,10.976
09.10.2011 01:00:00,13.330
09.10.2011 02:00:00,11.072
09.10.2011 03:00:00,8.814
09.10.2011 04:00:00,6.555
09.10.2011 05:00:00,5.043
09.10.2011 06:00:00,5.037
09.10.2011 07:00:00,5.054
09.10.2011 08:00:00,5.150
09.10.2011 09:00:00,7.250
09.10.2011 10:00:00,9.350
09.10.2011 11:00:00,11.450
09.10.2011 12:00:00,13.550
09.10.2011 13:00:00,11.150
09.10.2011 14:00:00,8.750
09.10.2011 15:00:00,6.350
09.10.2011 16:00:00,5.170
09.10.2011 17:00:00,5.968
09.10.2011 18:00:00,8.422
09.10.2011 19:00:00,10.876
09.10.2011 20:00:00,13.330
09.10.2011 21:00:00,12.306
09.10.2011 22:00:00,10.259
09.10.2011 23:00:00,8.211
10.10.2011 00:00:00,6.164
