Date,"Q [m3/s]","TP [mg/m3]"
24/01/2008,13.03,112
01/02/2008,9.30,67
08/02/2008,6.70,69
15/02/2008,9.52,60
21/02/2008,5.07,49
29/02/2008,3.83,34
07/03/2008,4.55,75
14/03/2008,4.66,40
22/03/2008,11.96,228
28/03/2008,13.23,51
03/04/2008,13.43,120
10/04/2008,10.79,54
17/04/2008,28.35,618
25/04/2008,13.52,77
02/05/2008,14.88,137
09/05/2008,8.41,52
16/05/2008,5.27,36
22/05/2008,4.66,49
29/05/2008,4.29,62
05/06/2008,4.24,66
12/06/2008,6.00,96
19/06/2008,6.81,426
26/06/2008,5.02,136
03/07/2008,2.85,175
10/07/2008,3.72,144
17/07/2008,6.22,336
24/07/2008,8.34,176
31/07/2008,2.82,41
07/08/2008,2.43,34
14/08/2008,1.95,30
21/08/2008,6.63,221
28/08/2008,4.33,109
04/09/2008,2.49,47
11/09/2008,10.43,182
19/09/2008,11.45,105
26/09/2008,7.67,49
03/10/2008,3.40,25
09/10/2008,6.89,21
16/10/2008,12.20,46
23/10/2008,9.06,98
31/10/2008,8.67,93
07/11/2008,11.60,176
14/11/2008,6.06,53
21/11/2008,6.17,105
27/11/2008,4.46,66
04/12/2008,4.45,44
11/12/2008,12.89,82
08/12/2008,9.20,57
