Depth [m],Area [m2]
0,23000000
1,22067733
2,21226026
3,20468097
4,19787162
5,19176439
6,18629144
7,18138495
8,17697708
9,17300000
10,16938588
11,16606689
12,16297521
13,16004299
14,15720240
15,15438563
16,15152483
17,14855218
18,14539985
19,14200000
20,13830114
21,13431711
22,13007809
23,12561425
24,12095577
25,11613283
26,11117561
27,10611428
28,10097902
29,9580000
30,9059666
31,8534547
32,8001215
33,7456242
34,6896201
35,6317663
36,5717202
37,5091390
38,4436798
39,3750000
40,3033304
41,2311965
42,1616974
43,979322
44,430000
45,0
