Depth [m],Area [m2]
0,3419353
0.01,3419196.999
0.02,3419024.101
0.03,3418831.399
0.04,3418613
0.05,3418435
0.06,3418267.3
0.07,3418058.4
0.08,3417852.2
0.09,3417663.4
0.1,3417481
0.11,3417264.7
0.12,3417055.5
0.13,3416846.001
0.14,3416658.9
0.15,3416470
0.16,3416279
0.17,3416082.1
0.18,3415873.6
0.19,3415650
0.2,3415671.897
0.21,3414975.303
0.22,3415005.701
0.23,3414783.8
0.24,3414544.5
0.25,3414327.5
0.26,3414126.599
0.27,3413911.101
0.28,3413661.899
0.29,3413443
0.3,3413234.3
0.31,3412983.8
0.32,3412764.3
0.33,3412527.6
0.34,3412301.7
0.35,3412069.8
0.36,3411867.3
0.37,3411638
0.38,3411414.801
0.39,3411193.6
0.4,3410974.4
0.41,3410773.8
0.42,3410542.7
0.43,3410315.5
0.44,3410082.7
0.45,3409868.3
0.46,3409654.7
0.47,3409417.701
0.48,3409182.7
0.49,3408936.5
0.5,3408695.9
0.51,3408474.599
0.52,3408228.901
0.53,3408001.399
0.54,3407796.2
0.55,3407552.7
0.56,3407324
0.57,3407103.5
0.58,3406916.5
0.59,3406710.5
0.6,3406470.8
0.61,3406241.5
0.62,3406023.6
0.63,3405805.901
0.64,3405583.1
0.65,3405370.7
0.66,3405146.7
0.67,3404924.3
0.68,3404687.3
0.69,3404454.8
0.7,3404204.1
0.71,3403984.8
0.72,3403735.301
0.73,3403496
0.74,3403241.6
0.75,3403046.601
0.76,3402810.399
0.77,3402570.601
0.78,3402326.999
0.79,3402069.3
0.8,3401835.7
0.81,3401600
0.82,3401377.8
0.83,3401148.8
0.84,3400919.8
0.85,3400697.8
0.86,3400451.2
0.87,3400211.5
0.88,3399977.3
0.89,3399735.8
0.9,3399480.5
0.91,3399234.6
0.92,3398994.8
0.93,3398783.8
0.94,3398540
0.95,3398305.4
0.96,3398104.4
0.97,3397864.201
0.98,3397622.3
0.99,3397408.2
1,3397145.4
1.01,3396916.299
1.02,3396710.301
1.03,3396470.299
1.04,3396221.4
1.05,3395986.2
1.06,3395760.5
1.07,3395508.9
1.08,3395285.8
1.09,3395028.5
1.1,3394782.5
1.11,3394560.9
1.12,3394310.6
1.13,3394058.4
1.14,3393817
1.15,3393588
1.16,3393347.8
1.17,3393089.4
1.18,3392833.2
1.19,3392595.5
1.2,3392365.4
1.21,3392138.7
1.22,3391930.2
1.23,3391726.8
1.24,3391550.7
1.25,3391363.1
1.26,3391164.699
1.27,3390987.401
1.28,3390825.399
1.29,3390659.9
1.3,3390467.9
1.31,3390297.9
1.32,3390140.3
1.33,3389981.2
1.34,3389818.4
1.35,3389658.8
1.36,3389486.1
1.37,3389332.5
1.38,3389187
1.39,3389044.9
1.4,3388919.4
1.41,3388777.4
1.42,3388628.2
1.43,3388489
1.44,3388352.5
1.45,3388230.1
1.46,3388084.1
1.47,3387934.7
1.48,3387806.2
1.49,3387661
1.5,3387511.8
1.51,3387376.399
1.52,3387229.701
1.53,3387085.1
1.54,3386941.4
1.55,3386785.3
1.56,3386638.6
1.57,3386502.3
1.58,3386355.9
1.59,3386216.2
1.6,3386071.8
1.61,3385912.6
1.62,3385770.4
1.63,3385620.3
1.64,3385469
1.65,3385307.9
1.66,3385144.4
1.67,3384993.4
1.68,3384813.9
1.69,3384650.3
1.7,3384503
1.71,3384333.4
1.72,3384178.301
1.73,3384012.6
1.74,3383832.6
1.75,3383661.1
1.76,3383480.699
1.77,3383301.901
1.78,3383128.7
1.79,3382941
1.8,3382752.3
1.81,3382583.9
1.82,3382395.3
1.83,3382188.4
1.84,3381984.8
1.85,3381779.1
1.86,3381586.4
1.87,3381388.2
1.88,3381199.9
1.89,3381010.4
1.9,3380793
1.91,3380580.1
1.92,3380378.8
1.93,3380174.4
1.94,3379938.8
1.95,3379710.9
1.96,3379485.2
1.97,3379257.6
1.98,3379017.4
1.99,3378764.8
2,3378530.7
2.01,3378318.399
2.02,3378077.301
2.03,3377829.7
2.04,3377547.6
2.05,3377306.1
2.06,3377051.6
2.07,3376824.3
2.08,3376568.3
2.09,3376351
2.1,3376098.1
2.11,3375845.6
2.12,3375565
2.13,3375325.3
2.14,3375046.1
2.15,3374756.8
2.16,3374445.7
2.17,3374118.4
2.18,3373829.4
2.19,3373527.6
2.2,3373220
2.21,3372923.7
2.22,3372561.6
2.23,3372190.7
2.24,3371851.4
2.25,3371521.2
2.26,3371189.299
2.27,3370853.101
2.28,3370515.7
2.29,3370213.8
2.3,3369852.8
2.31,3369515.7
2.32,3369165.2
2.33,3368801.099
2.34,3368451.5
2.35,3368065.4
2.36,3367655.2
2.37,3367267.9
2.38,3366868.5
2.39,3366490.3
2.4,3366104.2
2.41,3365696.8
2.42,3365280.8
2.43,3364857.3
2.44,3364436.1
2.45,3364004.2
2.46,3363588.2
2.47,3363179
2.48,3362757.4
2.49,3362337
2.5,3361912
2.51,3361502.099
2.52,3361030.201
2.53,3360594.8
2.54,3360131.9
2.55,3359695.1
2.56,3359260
2.57,3358781.6
2.58,3358329.6
2.59,3357878
2.6,3357421.6
2.61,3356961.5
2.62,3356499.2
2.63,3356007.7
2.64,3355507.3
2.65,3355049.6
2.66,3354577.2
2.67,3354121
2.68,3353634.3
2.69,3353145.2
2.7,3352662.6
2.71,3352205
2.72,3351732.7
2.73,3351278
2.74,3350765.7
2.75,3350305.001
2.76,3349820.799
2.77,3349338.5
2.78,3348829.7
2.79,3348356.5
2.8,3347875.4
2.81,3347368.4
2.82,3346870.8
2.83,3346389.2
2.84,3345881.9
2.85,3345413.9
2.86,3344954.2
2.87,3344458.6
2.88,3343983
2.89,3343494.2
2.9,3342959.4
2.91,3342451.8
2.92,3341938.5
2.93,3341465.1
2.94,3340964.8
2.95,3340507.2
2.96,3340030.9
2.97,3339542.501
2.98,3339026.5
2.99,3338504.6
3,3337949.6
3.01,3337497.199
3.02,3337002.3
3.03,3336504.7
3.04,3335999.7
3.05,3335505.5
3.06,3335008.2
3.07,3334542.2
3.08,3334058.4
3.09,3333557.6
3.1,3333050.3
3.11,3332532.9
3.12,3332017.7
3.13,3331492.4
3.14,3330966.2
3.15,3330446
3.16,3329957.9
3.17,3329438.6
3.18,3328926.6
3.19,3328427.9
3.2,3327951.3
3.21,3327477.2
3.22,3326965.2
3.23,3326485
3.24,3325960.5
3.25,3325450.8
3.26,3324966.899
3.27,3324449.8
3.28,3323941.6
3.29,3323482.7
3.3,3322977.6
3.31,3322474.7
3.32,3321939.6
3.33,3321469
3.34,3320964.2
3.35,3320451.2
3.36,3319903.2
3.37,3319328.6
3.38,3318823.8
3.39,3318337.7
3.4,3317798.6
3.41,3317295.5
3.42,3316786.6
3.43,3316276.2
3.44,3315783.5
3.45,3315287.8
3.46,3314741.5
3.47,3314187.6
3.48,3313668.9
3.49,3313146.4
3.5,3312604.2
3.51,3312075.999
3.52,3311541.1
3.53,3310982.3
3.54,3310426.5
3.55,3309877.6
3.56,3309351.1
3.57,3308831.8
3.58,3308282.8
3.59,3307730.6
3.6,3307180.5
3.61,3306608.6
3.62,3306074.5
3.63,3305567.9
3.64,3305043.3
3.65,3304470.5
3.66,3303945.3
3.67,3303373.3
3.68,3302822.7
3.69,3302253.5
3.7,3301679.6
3.71,3301132.7
3.72,3300555.1
3.73,3299991
3.74,3299448.1
3.75,3298847
3.76,3298252.499
3.77,3297679.4
3.78,3297098.7
3.79,3296453.2
3.8,3295849.2
3.81,3295247.4
3.82,3294638.4
3.83,3294016.1
3.84,3293463.9
3.85,3292881.2
3.86,3292288
3.87,3291672.6
3.88,3291031.2
3.89,3290367.2
3.9,3289753
3.91,3289127.2
3.92,3288453.1
3.93,3287824
3.94,3287184.099
3.95,3286485.3
3.96,3285804.3
3.97,3285143.801
3.98,3284512.6
3.99,3283846.6
4,3283202.7
4.01,3282524.699
4.02,3281828.8
4.03,3281201.9
4.04,3280556.6
4.05,3279891
4.06,3279213.1
4.07,3278523.3
4.08,3277826
4.09,3277130.8
4.1,3276479.5
4.11,3275808.7
4.12,3275124.3
4.13,3274426.2
4.14,3273798
4.15,3273107.9
4.16,3272422.6
4.17,3271724.9
4.18,3271001.1
4.19,3270280.699
4.2,3269571.9
4.21,3268906.301
4.22,3268200.5
4.23,3267548.8
4.24,3266848.6
4.25,3266162.4
4.26,3265516.499
4.27,3264863.3
4.28,3264229.8
4.29,3263537.6
4.3,3262892.2
4.31,3262214.5
4.32,3261592.6
4.33,3260894.6
4.34,3260254.4
4.35,3259590
4.36,3258915.3
4.37,3258290
4.38,3257613.6
4.39,3256930.1
4.4,3256257.1
4.41,3255574.2
4.42,3254913.5
4.43,3254227.7
4.44,3253588.999
4.45,3252913
4.46,3252209.001
4.47,3251550.5
4.48,3250854.7
4.49,3250167.2
4.5,3249474.2
4.51,3248774.299
4.52,3248088
4.53,3247422.7
4.54,3246738.8
4.55,3246011.5
4.56,3245331.4
4.57,3244644
4.58,3243894.9
4.59,3243170.9
4.6,3242431.7
4.61,3241690.1
4.62,3240975.7
4.63,3240238.5
4.64,3239558.6
4.65,3238892.9
4.66,3238140.299
4.67,3237444.9
4.68,3236819.5
4.69,3236124.4
4.7,3235461.2
4.71,3234754.9
4.72,3234056.401
4.73,3233336.9
4.74,3232624.9
4.75,3231893.1
4.76,3231214.099
4.77,3230497.1
4.78,3229759.1
4.79,3229067.3
4.8,3228407.2
4.81,3227710.9
4.82,3227052.3
4.83,3226351.4
4.84,3225634.7
4.85,3225008.6
4.86,3224358.5
4.87,3223670.7
4.88,3223011.6
4.89,3222379
4.9,3221626.5
4.91,3220910.3
4.92,3220234.5
4.93,3219598.6
4.94,3218951.6
4.95,3218290
4.96,3217663
4.97,3217053.8
4.98,3216417.2
4.99,3215807.8
5,3215165.7
5.01,3214512.799
5.02,3213912.2
5.03,3213271
5.04,3212607.1
5.05,3211966.7
5.06,3211351.2
5.07,3210705
5.08,3210050.4
5.09,3209439.7
5.1,3208835.2
5.11,3208187
5.12,3207569.5
5.13,3206940.9
5.14,3206313.8
5.15,3205706.6
5.16,3205074.7
5.17,3204475
5.18,3203855.4
5.19,3203182.599
5.2,3202583
5.21,3201922
5.22,3201323.301
5.23,3200731.6
5.24,3200123.5
5.25,3199478.3
5.26,3198892.799
5.27,3198241.2
5.28,3197611.9
5.29,3196981.3
5.3,3196377.8
5.31,3195745.5
5.32,3195071.8
5.33,3194414.8
5.34,3193705.5
5.35,3192932.4
5.36,3192202.3
5.37,3191487.4
5.38,3190768.4
5.39,3190040.2
5.4,3189332.4
5.41,3188613.5
5.42,3187846.3
5.43,3187160.4
5.44,3186426.399
5.45,3185712.3
5.46,3184966.3
5.47,3184221.101
5.48,3183459.8
5.49,3182701.2
5.5,3181945.9
5.51,3181166.299
5.52,3180419.3
