Date,Q_SON 189 [m3 s-1],TP_SON 189 [mg m-3],Q_SON-COU 192 [m3 s-1],TP_SON-COU 192 [mg m-3],Q_BS 611 [m3 s-1],TP_BS 611 [mg m-3],Q_STEP_Pensier [m3 s-1],TP_STEP_Pensier [mg m-3],Q_STEP_Fribourg [m3 s-1],TP_STEP_Fribourg [mg m-3]
23.01.2007,0.859,80.236,0.254,71.840,65.000,16.000,0.137,350.000,0.193,179.874
06.02.2007,0.860,80.247,0.255,72.071,33.500,0.000,0.157,350.000,0.278,212.391
13.03.2007,0.865,80.275,0.257,72.646,60.000,24.000,0.139,294.104,0.288,266.987
22.01.2008,0.905,80.528,0.276,77.826,0.000,36.000,0.100,505.903,0.231,284.583
12.02.2008,0.908,80.545,0.277,78.172,0.000,21.000,0.089,546.597,0.177,228.056
18.03.2008,0.912,80.573,0.279,78.747,0.000,21.000,0.081,200.208,0.221,316.795
15.04.2008,0.916,80.595,0.281,79.207,0.000,21.000,0.137,319.167,0.259,238.333
28.01.2013,1.140,81.998,0.385,107.967,86.230,37.000,0.173,296.111,0.388,299.806
25.02.2013,0.563,42.098,0.165,50.443,72.940,17.000,0.098,308.194,0.271,269.284
25.03.2013,0.511,33.432,0.162,43.215,39.940,15.000,0.111,413.889,0.388,459.429
22.04.2013,0.829,58.982,0.219,43.000,86.360,26.000,0.138,280.243,0.402,452.110
21.05.2013,0.666,69.376,0.196,75.586,89.750,19.000,0.156,254.702,0.226,294.734
24.06.2013,0.546,84.110,0.128,63.886,79.550,20.000,0.092,282.072,0.267,444.973
22.07.2013,0.425,96.129,0.255,100.119,15.490,22.000,0.103,529.112,0.244,459.444
26.08.2013,0.442,137.517,0.110,73.778,16.230,47.000,0.087,375.394,0.188,430.786
23.09.2013,0.306,63.899,0.095,91.497,49.940,20.000,0.082,505.171,0.294,524.908
21.10.2013,0.488,86.788,0.175,97.645,87.530,20.000,0.103,334.365,0.224,347.567
18.11.2013,0.639,80.639,0.092,85.917,47.410,31.000,0.117,205.977,0.254,246.471
02.12.2013,0.712,52.795,0.111,56.963,45.000,25.000,0.098,271.215,0.212,331.554
28.01.2019,0.248,37.005,0.095,160.941,73.000,102.000,0.083,707.031,0.206,443.750
25.02.2019,0.322,39.892,0.090,157.140,64.000,18.000,0.087,475.408,0.188,388.924
25.03.2019,0.363,44.823,0.077,59.544,66.000,10.000,0.084,419.117,0.192,474.990
29.04.2019,0.268,48.881,0.074,101.610,5.900,20.000,0.080,546.677,0.188,244.896
27.05.2019,0.342,87.478,0.115,181.940,85.000,19.000,0.175,388.452,0.313,352.431
25.06.2019,0.256,98.647,0.077,160.874,77.000,15.000,0.083,366.319,0.201,333.681
22.07.2019,0.192,91.314,0.046,1176.205,5.400,27.000,0.074,228.616,0.174,580.000
26.08.2019,0.266,76.432,0.066,309.498,69.000,21.000,0.093,300.288,0.189,432.488
23.09.2019,0.240,110.710,0.064,231.879,28.000,30.000,0.094,339.658,0.247,446.875
21.10.2019,0.549,102.350,0.159,156.613,47.000,44.000,0.110,220.833,0.420,288.229
18.11.2019,0.494,40.324,0.130,133.752,77.000,40.000,0.097,234.190,0.270,353.438
09.12.2019,0.499,65.628,0.131,113.933,77.000,26.000,0.114,282.312,0.312,414.722
