Date,Pin [kg/s]
02/10/2011,0.000353805
03/10/2011,0.000342435
04/10/2011,0.000881726
05/10/2011,0.001289508
06/10/2011,0.001508839
07/10/2011,0.001271793
08/10/2011,0.001104219
09/10/2011,0.000446855
10/10/2011,0.000661943
11/10/2011,0.003557666
12/10/2011,0.005047316
13/10/2011,0.003733596
14/10/2011,0.003339124
15/10/2011,0.003554067
16/10/2011,0.000718707
17/10/2011,0.000447957
18/10/2011,0.003131853
19/10/2011,0.003202232
20/10/2011,0.003070787
21/10/2011,0.003082803
22/10/2011,0.002689338
23/10/2011,0.000405023
24/10/2011,0.000453118
25/10/2011,0.001986706
26/10/2011,0.001369565
27/10/2011,0.002212594
28/10/2011,0.002280378
29/10/2011,0.001902538
30/10/2011,0.000575238
31/10/2011,0.000401834
01/11/2011,0.000404079
02/11/2011,0.000400992
03/11/2011,0.001579459
04/11/2011,0.002798166
05/11/2011,0.000635083
06/11/2011,0.000399712
07/11/2011,0.000400719
08/11/2011,0.001536014
09/11/2011,0.000514727
10/11/2011,0.001081241
11/11/2011,0.000445314
12/11/2011,0.000399352
13/11/2011,0.000398225
14/11/2011,0.000396716
15/11/2011,0.001370003
16/11/2011,0.000475255
17/11/2011,0.001102139
18/11/2011,0.001105116
19/11/2011,0.001355505
20/11/2011,0.000418558
21/11/2011,0.000397006
22/11/2011,0.002840637
23/11/2011,0.002289683
24/11/2011,0.001337488
25/11/2011,0.002136211
26/11/2011,0.002166735
27/11/2011,0.000457574
28/11/2011,0.000396883
29/11/2011,0.001836812
30/11/2011,0.001229285
01/12/2011,0.001265003
02/12/2011,0.002349668
03/12/2011,0.00308626
04/12/2011,0.000750623
05/12/2011,0.000471697
06/12/2011,0.002547954
07/12/2011,0.002857433
08/12/2011,0.001850749
09/12/2011,0.000911607
10/12/2011,0.001364288
11/12/2011,0.000623354
12/12/2011,0.000455863
13/12/2011,0.003446781
14/12/2011,0.002876426
15/12/2011,0.002632644
16/12/2011,0.003414404
17/12/2011,0.004141001
18/12/2011,0.004351891
19/12/2011,0.002773708
20/12/2011,0.003124502
21/12/2011,0.003979427
22/12/2011,0.003438414
23/12/2011,0.003808042
24/12/2011,0.004121275
25/12/2011,0.001175431
26/12/2011,0.000774555
27/12/2011,0.000631284
28/12/2011,0.000528642
29/12/2011,0.002503412
30/12/2011,0.002738668
31/12/2011,0.002999749
01/01/2012,0.001702316
02/01/2012,0.001654546
03/01/2012,0.004794564
04/01/2012,0.005900552
05/01/2012,0.00573857
06/01/2012,0.006064574
07/01/2012,0.005237693
08/01/2012,0.003677977
09/01/2012,0.001404847
10/01/2012,0.003795355
11/01/2012,0.003863229
12/01/2012,0.003744328
13/01/2012,0.003532393
14/01/2012,0.003557661
